part_id,layer_id,cell_i,cell_j,travel_distance_mm,adjacent_flag,spatial_weight,dx_mm,dy_mm,dx_grid,dy_grid,bearing_deg,direction_8,same_row_flag,same_col_flag,queen_adjacent_flag,contact_type,shared_boundary_mm,manhattan_distance_mm,manhattan_grid_distance,chebyshev_grid_distance,proximity_class,local_relation_flag,same_type_flag,i_grid_x,i_grid_y,i_x_mm,i_y_mm,i_xmin_mm,i_xmax_mm,i_ymin_mm,i_ymax_mm,i_type,j_grid_x,j_grid_y,j_x_mm,j_y_mm,j_xmin_mm,j_xmax_mm,j_ymin_mm,j_ymax_mm,j_type
part_A,1,L01_C001,L01_C002,4,1,0.726149,0,4,0,1,90,N,0,1,1,edge,4,4,1,1,adjacent_or_overlap,1,1,0,0,2,2,0,4,0,4,boundary,0,1,2,6,0,4,4,8,boundary
part_A,1,L01_C001,L01_C003,8,0,0.527292,0,8,0,2,90,N,0,1,0,none,0,8,2,2,near,1,1,0,0,2,2,0,4,0,4,boundary,0,2,2,10,0,4,8,12,boundary
part_A,1,L01_C001,L01_C004,12,0,0.382893,0,12,0,3,90,N,0,1,0,none,0,12,3,3,mid,0,1,0,0,2,2,0,4,0,4,boundary,0,3,2,14,0,4,12,16,boundary
part_A,1,L01_C001,L01_C005,16,0,0.278037,0,16,0,4,90,N,0,1,0,none,0,16,4,4,far,0,1,0,0,2,2,0,4,0,4,boundary,0,4,2,18,0,4,16,20,boundary
part_A,1,L01_C001,L01_C006,4,1,0.726149,4,0,1,0,0,E,1,0,1,edge,4,4,1,1,adjacent_or_overlap,1,1,0,0,2,2,0,4,0,4,boundary,1,0,6,2,4,8,0,4,boundary
part_A,1,L01_C001,L01_C007,5.6569,0,0.636005,4,4,1,1,45,NE,0,0,1,corner,0,8,2,1,near,1,0,0,0,2,2,0,4,0,4,boundary,1,1,6,6,4,8,4,8,interior
part_A,1,L01_C001,L01_C008,8.9443,0,0.488927,4,8,1,2,63.43494882,NE,0,0,0,none,0,12,3,2,mid,1,0,0,0,2,2,0,4,0,4,boundary,1,2,6,10,4,8,8,12,interior
part_A,1,L01_C001,L01_C009,12.6491,0,0.363517,4,12,1,3,71.56505118,N,0,0,0,none,0,16,4,3,far,0,0,0,0,2,2,0,4,0,4,boundary,1,3,6,14,4,8,12,16,interior
part_A,1,L01_C001,L01_C010,16.4924,0,0.267297,4,16,1,4,75.96375653,N,0,0,0,none,0,20,5,4,far,0,1,0,0,2,2,0,4,0,4,boundary,1,4,6,18,4,8,16,20,boundary
part_A,1,L01_C001,L01_C011,8,0,0.527292,8,0,2,0,0,E,1,0,0,none,0,8,2,2,near,1,1,0,0,2,2,0,4,0,4,boundary,2,0,10,2,8,12,0,4,boundary
