schedule_index,part_id,layer_id,layer_label,solver_status,base_start_cell_id,base_end_cell_id,fixed_start_cell_id,fixed_end_cell_id,result_start_cell_id,result_end_cell_id,travel_distance_mm,travel_time_s,scan_time_s,laser_on_time_s,layer_total_time_s,base_layer_total_time_s,delta_time_s,delta_time_percent,path_difference_rate
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C002,L01_C001,L01_C002,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.945946
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C003,L01_C001,L01_C003,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.864865
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C004,L01_C001,L01_C004,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.891892
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C005,L01_C001,L01_C005,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.783784
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C006,L01_C001,L01_C006,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.297297
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C007,L01_C001,L01_C007,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.972973
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C008,L01_C001,L01_C008,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.918919
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C009,L01_C001,L01_C009,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.243243
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C010,L01_C001,L01_C010,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.756757
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C011,L01_C001,L01_C011,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.540541
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C012,L01_C001,L01_C012,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.864865
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C013,L01_C001,L01_C013,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.432432
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C014,L01_C001,L01_C014,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.810811
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C015,L01_C001,L01_C015,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.729730
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C016,L01_C001,L01_C016,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.486486
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C017,L01_C001,L01_C017,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.837838
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C018,L01_C001,L01_C018,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.783784
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C019,L01_C001,L01_C019,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.594595
