inter_part_distance_per_switch_mm,inter_part_switch_count,total_inter_part_distance_mm,total_inter_part_time_s,total_task_time_s
20.000000,6,120.000000,0.066667,16.545556
25.000000,6,150.000000,0.083333,16.562222
30.000000,6,180.000000,0.100000,16.578889
35.000000,6,210.000000,0.116667,16.595556
40.000000,6,240.000000,0.133333,16.612222
45.000000,6,270.000000,0.150000,16.628889
50.000000,6,300.000000,0.166667,16.645556
55.000000,6,330.000000,0.183333,16.662222
60.000000,6,360.000000,0.200000,16.678889
65.000000,6,390.000000,0.216667,16.695556
70.000000,6,420.000000,0.233333,16.712222
75.000000,6,450.000000,0.250000,16.728889
80.000000,6,480.000000,0.266667,16.745556
85.000000,6,510.000000,0.283333,16.762222
90.000000,6,540.000000,0.300000,16.778889
95.000000,6,570.000000,0.316667,16.795556
100.000000,6,600.000000,0.333333,16.812222
