scheme_name,schedule_index,part_id,layer_id,visit_step,cell_id,travel_distance_mm,travel_time_s,scan_time_s,laser_on_time_s,scan_completion_time_s
row_major,1,part_A,1,1,L01_C001,0.000000,0.000000,0.005667,0.015000,0.020667
row_major,1,part_A,1,2,L01_C006,4.000000,0.002222,0.005667,0.015000,0.043556
row_major,1,part_A,1,3,L01_C011,4.000000,0.002222,0.005667,0.015000,0.066444
row_major,1,part_A,1,4,L01_C016,4.000000,0.002222,0.005667,0.015000,0.089333
row_major,1,part_A,1,5,L01_C020,4.000000,0.002222,0.005667,0.015000,0.112222
row_major,1,part_A,1,6,L01_C024,4.000000,0.002222,0.005667,0.015000,0.135111
row_major,1,part_A,1,7,L01_C029,4.000000,0.002222,0.005667,0.015000,0.158000
row_major,1,part_A,1,8,L01_C034,4.000000,0.002222,0.005667,0.015000,0.180889
row_major,1,part_A,1,9,L01_C002,28.284300,0.015714,0.005667,0.015000,0.217269
row_major,1,part_A,1,10,L01_C007,4.000000,0.002222,0.006667,0.015000,0.241158
row_major,1,part_A,1,11,L01_C012,4.000000,0.002222,0.006667,0.015000,0.265047
row_major,1,part_A,1,12,L01_C017,4.000000,0.002222,0.005667,0.015000,0.287936
row_major,1,part_A,1,13,L01_C021,4.000000,0.002222,0.005667,0.015000,0.310825
row_major,1,part_A,1,14,L01_C025,4.000000,0.002222,0.006667,0.015000,0.334714
row_major,1,part_A,1,15,L01_C030,4.000000,0.002222,0.006667,0.015000,0.358602
row_major,1,part_A,1,16,L01_C035,4.000000,0.002222,0.005667,0.015000,0.381491
row_major,1,part_A,1,17,L01_C003,28.284300,0.015714,0.005667,0.015000,0.417871
row_major,1,part_A,1,18,L01_C008,4.000000,0.002222,0.006667,0.015000,0.441760
row_major,1,part_A,1,19,L01_C013,4.000000,0.002222,0.005667,0.015000,0.464649
row_major,1,part_A,1,20,L01_C026,12.000000,0.006667,0.005667,0.015000,0.491983
row_major,1,part_A,1,21,L01_C031,4.000000,0.002222,0.006667,0.015000,0.515871
row_major,1,part_A,1,22,L01_C036,4.000000,0.002222,0.005667,0.015000,0.538760
row_major,1,part_A,1,23,L01_C004,28.284300,0.015714,0.005667,0.015000,0.575141
row_major,1,part_A,1,24,L01_C009,4.000000,0.002222,0.006667,0.015000,0.599029
row_major,1,part_A,1,25,L01_C014,4.000000,0.002222,0.006667,0.015000,0.622918
row_major,1,part_A,1,26,L01_C018,4.000000,0.002222,0.005667,0.015000,0.645807
row_major,1,part_A,1,27,L01_C022,4.000000,0.002222,0.005667,0.015000,0.668696
row_major,1,part_A,1,28,L01_C027,4.000000,0.002222,0.006667,0.015000,0.692585
row_major,1,part_A,1,29,L01_C032,4.000000,0.002222,0.006667,0.015000,0.716474
row_major,1,part_A,1,30,L01_C037,4.000000,0.002222,0.005667,0.015000,0.739363
row_major,1,part_A,1,31,L01_C005,28.284300,0.015714,0.005667,0.015000,0.775743
row_major,1,part_A,1,32,L01_C010,4.000000,0.002222,0.005667,0.015000,0.798632
row_major,1,part_A,1,33,L01_C015,4.000000,0.002222,0.005667,0.015000,0.821521
row_major,1,part_A,1,34,L01_C019,4.000000,0.002222,0.005667,0.015000,0.844410
row_major,1,part_A,1,35,L01_C023,4.000000,0.002222,0.005667,0.015000,0.867298
row_major,1,part_A,1,36,L01_C028,4.000000,0.002222,0.005667,0.015000,0.890187
row_major,1,part_A,1,37,L01_C033,4.000000,0.002222,0.005667,0.015000,0.913076
row_major,1,part_A,1,38,L01_C038,4.000000,0.002222,0.005667,0.015000,0.935965
row_major,2,part_B,1,1,L01_C001,0.000000,0.000000,0.005000,0.015000,0.020000
row_major,2,part_B,1,2,L01_C008,4.000000,0.002222,0.005000,0.015000,0.042222
