group_name,feature_name,weight_value,parameter_name,parameter_value
R_mu,mu_mean,0.03592113960509195,A_0,2.0
R_mu,mu_top10_mean,0.9640788603949081,A_0,2.0
R_xi,xi_mean,0.9422795899800532,A_0,2.0
R_xi,xi_max,0.05772041001994679,A_0,2.0
R_theta,theta_mean,0.5021162412482482,A_0,2.0
R_theta,theta_top10_mean,0.4978837587517518,A_0,2.0
R_phi,phi_mean,0.5841975135447469,A_0,2.0
R_phi,phi_top10_mean,0.14599301187762312,A_0,2.0
R_phi,phi_max,0.26980947457762994,A_0,2.0
first_level,R_theta,0.35,A_0,2.0
first_level,R_mu,0.2,A_0,2.0
first_level,R_xi,0.2,A_0,2.0
first_level,R_phi,0.25,A_0,2.0
R_mu,mu_mean,0.03356338746700295,A_0,3.0
R_mu,mu_top10_mean,0.9664366125329971,A_0,3.0
R_xi,xi_mean,0.9674021744412268,A_0,3.0
R_xi,xi_max,0.032597825558773254,A_0,3.0
R_theta,theta_mean,0.49999999999999933,A_0,3.0
R_theta,theta_top10_mean,0.5000000000000007,A_0,3.0
R_phi,phi_mean,0.4826909507653081,A_0,3.0
R_phi,phi_top10_mean,0.11034163236511407,A_0,3.0
R_phi,phi_max,0.4069674168695778,A_0,3.0
first_level,R_theta,0.35,A_0,3.0
first_level,R_mu,0.2,A_0,3.0
first_level,R_xi,0.2,A_0,3.0
first_level,R_phi,0.25,A_0,3.0
R_mu,mu_mean,0.03255502366979325,A_0,4.0
R_mu,mu_top10_mean,0.9674449763302068,A_0,4.0
R_xi,xi_mean,0.9714300242222039,A_0,4.0
R_xi,xi_max,0.02856997577779607,A_0,4.0
R_theta,theta_mean,0.5130924752905512,A_0,4.0
R_theta,theta_top10_mean,0.48690752470944876,A_0,4.0
R_phi,phi_mean,0.4385107348659158,A_0,4.0
R_phi,phi_top10_mean,0.0966127536764147,A_0,4.0
R_phi,phi_max,0.4648765114576695,A_0,4.0
first_level,R_theta,0.35,A_0,4.0
first_level,R_mu,0.2,A_0,4.0
first_level,R_xi,0.2,A_0,4.0
first_level,R_phi,0.25,A_0,4.0
R_mu,mu_mean,0.03265857179912321,A_0,5.0
R_mu,mu_top10_mean,0.9673414282008768,A_0,5.0
R_xi,xi_mean,0.9466177236868379,A_0,5.0
R_xi,xi_max,0.053382276313162016,A_0,5.0
R_theta,theta_mean,0.4899575372269076,A_0,5.0
R_theta,theta_top10_mean,0.5100424627730924,A_0,5.0
R_phi,phi_mean,0.41052754925904633,A_0,5.0
R_phi,phi_top10_mean,0.09527861531706244,A_0,5.0
R_phi,phi_max,0.4941938354238912,A_0,5.0
first_level,R_theta,0.35,A_0,5.0
first_level,R_mu,0.2,A_0,5.0
first_level,R_xi,0.2,A_0,5.0
first_level,R_phi,0.25,A_0,5.0
R_mu,mu_mean,0.03264322786802596,A_0,6.0
R_mu,mu_top10_mean,0.967356772131974,A_0,6.0
R_xi,xi_mean,0.9520785677364595,A_0,6.0
R_xi,xi_max,0.04792143226354056,A_0,6.0
R_theta,theta_mean,0.4997006522906203,A_0,6.0
R_theta,theta_top10_mean,0.5002993477093798,A_0,6.0
R_phi,phi_mean,0.3929837990793821,A_0,6.0
R_phi,phi_top10_mean,0.0974709543323059,A_0,6.0
R_phi,phi_max,0.509545246588312,A_0,6.0
first_level,R_theta,0.35,A_0,6.0
first_level,R_mu,0.2,A_0,6.0
first_level,R_xi,0.2,A_0,6.0
first_level,R_phi,0.25,A_0,6.0
