scheme_name,layer_count,travel_distance_mm,travel_time_s,scan_time_s,laser_on_time_s,intra_layer_total_time_s,inter_layer_change_time_s,inter_part_transfer_distance_mm,inter_part_transfer_time_s,total_task_time_s,cell_count,mu_mean,mu_top10_mean,xi_mean,xi_max,theta_mean,theta_top10_mean,phi_mean,phi_top10_mean,phi_max,scan_heat_mean,peak_heat_max,final_heat_mean,R_mu,R_xi,R_theta,R_phi,weighted_sum_total_risk,weighted_sum_rank,topsis_score,topsis_rank,parameter_name,parameter_value
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.003687132105013675,0.008043100481323041,11.622676226170022,27.17398622271239,9.891349496335634,95.379792538906,0.00027973574590051337,0.00039965663515632394,0.0004368565697392796,0.0014883327340766478,0.0024756609848571557,0.0020214886764972633,0.007892353098694347,11.74819868805703,51.468242092410605,0.0003649562861709233,20.365194179646398,4,0.08408258613425389,4,alpha,0.12
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0036724938879119057,0.007083674704665777,12.83300546839411,27.021287890358145,5.806439981098882,57.193433813823994,0.00018918058132163992,0.0003597277019643512,0.0005811241614607139,0.001490447981492504,0.0026577427165026513,0.0020620896974016673,0.006965623668621631,12.947526247669236,30.798256972718065,0.00038851777351703206,13.370385444162272,3,0.6589823945868694,3,alpha,0.12
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.0036094647418212222,0.007368836171109706,13.06431468931742,26.933947565801372,4.221553065980977,41.58229769991262,0.00020166386142913775,0.00032125921647382764,0.0003968052633148903,0.0014896578235938135,0.0026039604306633533,0.0020532528509782755,0.0072387352717605494,13.1762634874902,22.39177130449595,0.0003044832344641502,10.473896521934591,2,0.9280938703692125,2,alpha,0.12
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.0036223017136511955,0.007338156668249195,13.065601155269974,26.86193465799406,4.17586778679316,41.13229769991263,0.0001988720069980549,0.0003459419998100261,0.00038740286482847854,0.0014902312913009242,0.002610265595953728,0.0020587382743496494,0.00720956174738613,13.17695831724933,22.14944950785689,0.0003014561568770755,10.389216267588473,1,0.9300214757710054,1,alpha,0.12
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.0036339574553911637,0.007900919962282774,9.299052794317262,21.84571381397505,9.891349496335634,95.379792538906,0.0002767573372418103,0.00039527408392170957,0.0004344029071771147,0.0014829854674755436,0.0024123836748267146,0.0019893938696560354,0.007759723744118704,9.511047863032662,51.51631568945827,0.00036177277008915846,19.93456245185827,4,0.08354230131881342,4,alpha,0.15
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.003630698042503886,0.007002679437386708,10.191632711049625,21.645859949612163,6.244273080053569,61.50608983852766,0.00018826582744422765,0.0003568132498024708,0.0005750672092827838,0.0014870967053681253,0.0026352888056579197,0.0020392804358180757,0.006891098653653997,10.385169436614806,33.15166748886932,0.0003846569375588243,13.681591892392342,3,0.5925308342320232,3,alpha,0.15
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.003566727236770882,0.00727196283854806,10.453219799064826,21.558929305683694,4.221553065980977,41.58229769991262,0.0002006886957215245,0.0003199620649657185,0.0003942746225597862,0.0014860031663640949,0.0025685421117855934,0.0020283865187858325,0.007149354483416549,10.640867783361221,22.412780756990454,0.000302464269530688,9.974152308582969,2,0.9283739741787166,2,alpha,0.15
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.0035797755553971947,0.007245190034934254,10.454405058428568,21.486856502700235,4.160639360397221,40.98229769991262,0.0001979869347669268,0.00034469022183200023,0.0003875631750588088,0.0014868333620210656,0.002576284719854414,0.0020351267783915014,0.007123899383404373,10.640815235475934,22.089381878187694,0.0003006394272050657,9.86094664419436,1,0.9304991545018066,1,alpha,0.15
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.003584953882992413,0.007769197913643007,7.750457597835978,18.294108308708417,9.891349496335634,95.379792538906,0.00027383564423321175,0.000390962753182034,0.0004319740683374129,0.0014777082589105001,0.002354337280918463,0.001957980360478692,0.007632979750184986,8.051689443255146,51.51631568945827,0.0003586664556838894,19.642664642525375,4,0.08162639871391103,4,alpha,0.18
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0035915329458760326,0.006925553362454406,8.496034478650214,18.062419579600537,6.244273080053569,61.50608983852766,0.0001873667466620926,0.00035394507997401546,0.000569143122745806,0.0014837828914829468,0.002613232525236976,0.002016827698712079,0.006817014248877123,8.769345869265434,33.15166748886932,0.000380939208016933,13.358411432609127,3,0.593975398697498,3,alpha,0.18
