group_name,feature_name,weight_value,parameter_name,parameter_value
R_mu,mu_mean,0.034607088391311214,alpha,0.12
R_mu,mu_top10_mean,0.9653929116086888,alpha,0.12
R_xi,xi_mean,0.9919284959328238,alpha,0.12
R_xi,xi_max,0.008071504067176147,alpha,0.12
R_theta,theta_mean,0.5136548155945351,alpha,0.12
R_theta,theta_top10_mean,0.4863451844054649,alpha,0.12
R_phi,phi_mean,0.4332200885047034,alpha,0.12
R_phi,phi_top10_mean,0.1030213198479652,alpha,0.12
R_phi,phi_max,0.4637585916473314,alpha,0.12
first_level,R_theta,0.35,alpha,0.12
first_level,R_mu,0.2,alpha,0.12
first_level,R_xi,0.2,alpha,0.12
first_level,R_phi,0.25,alpha,0.12
R_mu,mu_mean,0.033090569213116525,alpha,0.15
R_mu,mu_top10_mean,0.9669094307868835,alpha,0.15
R_xi,xi_mean,0.9831034672584801,alpha,0.15
R_xi,xi_max,0.016896532741519935,alpha,0.15
R_theta,theta_mean,0.5130924752905512,alpha,0.15
R_theta,theta_top10_mean,0.48690752470944876,alpha,0.15
R_phi,phi_mean,0.4359392698796963,alpha,0.15
R_phi,phi_top10_mean,0.09983030680718125,alpha,0.15
R_phi,phi_max,0.4642304233131225,alpha,0.15
first_level,R_theta,0.35,alpha,0.15
first_level,R_mu,0.2,alpha,0.15
first_level,R_xi,0.2,alpha,0.15
first_level,R_phi,0.25,alpha,0.15
R_mu,mu_mean,0.03255502366979325,alpha,0.18
R_mu,mu_top10_mean,0.9674449763302068,alpha,0.18
R_xi,xi_mean,0.9714300242222039,alpha,0.18
R_xi,xi_max,0.02856997577779607,alpha,0.18
R_theta,theta_mean,0.5130924752905512,alpha,0.18
R_theta,theta_top10_mean,0.48690752470944876,alpha,0.18
R_phi,phi_mean,0.4385107348659158,alpha,0.18
R_phi,phi_top10_mean,0.0966127536764147,alpha,0.18
R_phi,phi_max,0.4648765114576695,alpha,0.18
first_level,R_theta,0.35,alpha,0.18
first_level,R_mu,0.2,alpha,0.18
first_level,R_xi,0.2,alpha,0.18
first_level,R_phi,0.25,alpha,0.18
R_mu,mu_mean,0.03296463325925847,alpha,0.21
R_mu,mu_top10_mean,0.9670353667407415,alpha,0.21
R_xi,xi_mean,0.9554603014750127,alpha,0.21
R_xi,xi_max,0.04453969852498725,alpha,0.21
R_theta,theta_mean,0.505258648538705,alpha,0.21
R_theta,theta_top10_mean,0.49474135146129505,alpha,0.21
R_phi,phi_mean,0.4404135706372054,alpha,0.21
R_phi,phi_top10_mean,0.09324821445174106,alpha,0.21
R_phi,phi_max,0.46633821491105354,alpha,0.21
first_level,R_theta,0.35,alpha,0.21
first_level,R_mu,0.2,alpha,0.21
first_level,R_xi,0.2,alpha,0.21
first_level,R_phi,0.25,alpha,0.21
R_mu,mu_mean,0.03398498962122373,alpha,0.24
R_mu,mu_top10_mean,0.9660150103787762,alpha,0.24
R_xi,xi_mean,0.9378791607082638,alpha,0.24
R_xi,xi_max,0.06212083929173619,alpha,0.24
R_theta,theta_mean,0.505503622375015,alpha,0.24
R_theta,theta_top10_mean,0.494496377624985,alpha,0.24
R_phi,phi_mean,0.44204794832457156,alpha,0.24
R_phi,phi_top10_mean,0.08971758802758835,alpha,0.24
R_phi,phi_max,0.4682344636478401,alpha,0.24
first_level,R_theta,0.35,alpha,0.24
first_level,R_mu,0.2,alpha,0.24
first_level,R_xi,0.2,alpha,0.24
first_level,R_phi,0.25,alpha,0.24
