scheme_name,layer_count,travel_distance_mm,travel_time_s,scan_time_s,laser_on_time_s,intra_layer_total_time_s,inter_layer_change_time_s,inter_part_transfer_distance_mm,inter_part_transfer_time_s,total_task_time_s,cell_count,mu_mean,mu_top10_mean,xi_mean,xi_max,theta_mean,theta_top10_mean,phi_mean,phi_top10_mean,phi_max,scan_heat_mean,peak_heat_max,final_heat_mean,R_mu,R_xi,R_theta,R_phi,weighted_sum_total_risk,weighted_sum_rank,topsis_score,topsis_rank,parameter_name,parameter_value
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.003991405042399448,0.009022250456540523,9.601756925318725,21.23078882578681,8.368751317801944,82.43220048034915,0.0002907924875299473,0.0004199657345901403,0.0004657178501087022,0.001656791131012732,0.0028255993616568427,0.0022987230848848113,0.008855199248090756,9.889403107014509,45.400475899075545,0.00037662938088703086,17.86991238327418,4,0.052457469906422,4,beta,0.05
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.004005072310926723,0.007850138284651559,10.338829964614286,21.00658830835258,5.3267445496268016,52.46843381382399,0.00020284902837958932,0.0003751384576523914,0.0005823089403509763,0.0016645210005305736,0.0031060869052627373,0.002368440954877809,0.007722461350736172,10.602698873143648,28.897589181725397,0.0003772130241501478,12.236334783758803,3,0.5816186048928106,3,beta,0.05
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.003914102639540067,0.00820698318625068,10.605490338281399,20.952197318884547,3.2418576345088956,31.932297699912624,0.0002168240536567598,0.0003458819219160859,0.00042853408193850156,0.0016623764325355227,0.003024873683330042,0.0023534041513972558,0.00806443639261581,10.861417983984717,17.58707766721076,0.0003177188574514339,8.329453097313595,2,0.9421760686521131,2,beta,0.05
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.00393451435331455,0.008169619156878884,10.606859959518536,20.866721752740922,3.2418576345088956,31.932297699912624,0.00021425081178084977,0.00037081111885402794,0.00041675229165449726,0.0016638198901622221,0.0030359918274482276,0.002362780725606429,0.00802899082960844,10.86063947399627,17.58707766721076,0.0003143899587078952,8.32928947397862,1,0.9435686388579376,1,beta,0.05
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.0037694771427044128,0.00833596610143674,9.150176166281028,20.00966646691622,7.215392689149452,71.0716179881221,0.00028225968785955055,0.000404949294175537,0.0004472622338079598,0.0015595779407420244,0.002570043134053904,0.00211361485331078,0.008185437886926125,9.855286073830541,39.14350533863578,0.00036863920385738066,15.67301333066698,4,0.05371415530338712,4,beta,0.065
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0037787935678533758,0.0073437343439764005,9.584104727559874,19.75014035560178,5.405424752672486,53.24343381382399,0.00019486459086426143,0.00036404905485026617,0.0005756123931237285,0.0015664272159562904,0.002841719660886209,0.0021774980223579687,0.00722622082873189,10.244188418726704,29.32442928324824,0.000382661430148931,12.31392884240551,3,0.44443830237638865,3,beta,0.065
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.0037022470853631546,0.007643651183700138,9.841784331546783,19.67801470807107,3.2418576345088956,31.932297699912624,0.0002080418958113934,0.00033152765490085466,0.000408690451551982,0.0015646949745117043,0.0027613804394564672,0.0021636140398324324,0.0075137280574319905,10.48045367047709,17.58707766721076,0.0003104811874754633,8.253148283527539,2,0.9504736261084833,2,beta,0.065
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.0037186668688858632,0.007615510228708057,9.842818239587059,19.59947936008659,3.2418576345088956,31.932297699912624,0.00020544707266721682,0.00035635625671778375,0.00039686305870224983,0.0015659413083492697,0.002771412215455974,0.002172218658622043,0.007487055987718407,10.47632112325969,17.58707766721076,0.00030652215786256605,8.252315449912713,1,0.9528717790835936,1,beta,0.065
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.003584953882992413,0.007769197913643007,7.750457597835978,18.294108308708417,9.891349496335634,95.379792538906,0.00027383564423321175,0.000390962753182034,0.0004319740683374129,0.0014777082589105001,0.002354337280918463,0.001957980360478692,0.007632979750184986,8.051689443255146,51.51631568945827,0.0003586664556838894,19.642664642525375,4,0.08162639871391103,4,beta,0.08
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0035915329458760326,0.006925553362454406,8.496034478650214,18.062419579600537,6.244273080053569,61.50608983852766,0.0001873667466620926,0.00035394507997401546,0.000569143122745806,0.0014837828914829468,0.002613232525236976,0.002016827698712079,0.006817014248877123,8.769345869265434,33.15166748886932,0.000380939208016933,13.358411432609127,3,0.593975398697498,3,beta,0.08
