group_name,feature_name,weight_value,parameter_name,parameter_value
R_mu,mu_mean,0.033205394858726395,beta,0.05
R_mu,mu_top10_mean,0.9667946051412736,beta,0.05
R_xi,xi_mean,0.9752648213404415,beta,0.05
R_xi,xi_max,0.0247351786595585,beta,0.05
R_theta,theta_mean,0.5,beta,0.05
R_theta,theta_top10_mean,0.5,beta,0.05
R_phi,phi_mean,0.4806015191283507,beta,0.05
R_phi,phi_top10_mean,0.10970146790716014,beta,0.05
R_phi,phi_max,0.4096970129644892,beta,0.05
first_level,R_theta,0.35,beta,0.05
first_level,R_mu,0.2,beta,0.05
first_level,R_xi,0.2,beta,0.05
first_level,R_phi,0.25,beta,0.05
R_mu,mu_mean,0.03296366549244905,beta,0.065
R_mu,mu_top10_mean,0.967036334507551,beta,0.065
R_xi,xi_mean,0.9350697051123781,beta,0.065
R_xi,xi_max,0.06493029488762192,beta,0.065
R_theta,theta_mean,0.5,beta,0.065
R_theta,theta_top10_mean,0.5,beta,0.065
R_phi,phi_mean,0.4505510942029513,beta,0.065
R_phi,phi_top10_mean,0.10117359759070615,beta,0.065
R_phi,phi_max,0.44827530820634254,beta,0.065
first_level,R_theta,0.35,beta,0.065
first_level,R_mu,0.2,beta,0.065
first_level,R_xi,0.2,beta,0.065
first_level,R_phi,0.25,beta,0.065
R_mu,mu_mean,0.03255502366979325,beta,0.08
R_mu,mu_top10_mean,0.9674449763302068,beta,0.08
R_xi,xi_mean,0.9714300242222039,beta,0.08
R_xi,xi_max,0.02856997577779607,beta,0.08
R_theta,theta_mean,0.5130924752905512,beta,0.08
R_theta,theta_top10_mean,0.48690752470944876,beta,0.08
R_phi,phi_mean,0.4385107348659158,beta,0.08
R_phi,phi_top10_mean,0.0966127536764147,beta,0.08
R_phi,phi_max,0.4648765114576695,beta,0.08
first_level,R_theta,0.35,beta,0.08
first_level,R_mu,0.2,beta,0.08
first_level,R_xi,0.2,beta,0.08
first_level,R_phi,0.25,beta,0.08
R_mu,mu_mean,0.03261368264319994,beta,0.095
R_mu,mu_top10_mean,0.9673863173568,beta,0.095
R_xi,xi_mean,0.9667912836920758,beta,0.095
R_xi,xi_max,0.03320871630792425,beta,0.095
R_theta,theta_mean,0.50550680047316,beta,0.095
R_theta,theta_top10_mean,0.49449319952684,beta,0.095
R_phi,phi_mean,0.4301007997885755,beta,0.095
R_phi,phi_top10_mean,0.09465403054516675,beta,0.095
R_phi,phi_max,0.47524516966625774,beta,0.095
first_level,R_theta,0.35,beta,0.095
first_level,R_mu,0.2,beta,0.095
first_level,R_xi,0.2,beta,0.095
first_level,R_phi,0.25,beta,0.095
R_mu,mu_mean,0.03311786935482406,beta,0.11
R_mu,mu_top10_mean,0.9668821306451759,beta,0.11
R_xi,xi_mean,0.9176670301067709,beta,0.11
R_xi,xi_max,0.08233296989322908,beta,0.11
R_theta,theta_mean,0.3714687007448704,beta,0.11
R_theta,theta_top10_mean,0.6285312992551296,beta,0.11
R_phi,phi_mean,0.421370743404493,beta,0.11
R_phi,phi_top10_mean,0.09433711846234576,beta,0.11
R_phi,phi_max,0.48429213813316124,beta,0.11
first_level,R_theta,0.35,beta,0.11
first_level,R_mu,0.2,beta,0.11
first_level,R_xi,0.2,beta,0.11
first_level,R_phi,0.25,beta,0.11
