group_name,feature_name,weight_value,parameter_name,parameter_value
R_mu,mu_mean,0.03019166248129849,gamma,0.0
R_mu,mu_top10_mean,0.9698083375187015,gamma,0.0
R_xi,xi_mean,0.9428614611753138,gamma,0.0
R_xi,xi_max,0.05713853882468621,gamma,0.0
R_theta,theta_mean,0.5,gamma,0.0
R_theta,theta_top10_mean,0.5,gamma,0.0
R_phi,phi_mean,0.4087718354447462,gamma,0.0
R_phi,phi_top10_mean,0.11648360312961141,gamma,0.0
R_phi,phi_max,0.47474456142564236,gamma,0.0
first_level,R_theta,0.35,gamma,0.0
first_level,R_mu,0.2,gamma,0.0
first_level,R_xi,0.2,gamma,0.0
first_level,R_phi,0.25,gamma,0.0
R_mu,mu_mean,0.03133866295063785,gamma,0.25
R_mu,mu_top10_mean,0.9686613370493622,gamma,0.25
R_xi,xi_mean,0.9417529639221877,gamma,0.25
R_xi,xi_max,0.05824703607781238,gamma,0.25
R_theta,theta_mean,0.5,gamma,0.25
R_theta,theta_top10_mean,0.5,gamma,0.25
R_phi,phi_mean,0.4199101238808361,gamma,0.25
R_phi,phi_top10_mean,0.10176576568556747,gamma,0.25
R_phi,phi_max,0.47832411043359646,gamma,0.25
first_level,R_theta,0.35,gamma,0.25
first_level,R_mu,0.2,gamma,0.25
first_level,R_xi,0.2,gamma,0.25
first_level,R_phi,0.25,gamma,0.25
R_mu,mu_mean,0.03255502366979325,gamma,0.5
R_mu,mu_top10_mean,0.9674449763302068,gamma,0.5
R_xi,xi_mean,0.9714300242222039,gamma,0.5
R_xi,xi_max,0.02856997577779607,gamma,0.5
R_theta,theta_mean,0.5130924752905512,gamma,0.5
R_theta,theta_top10_mean,0.48690752470944876,gamma,0.5
R_phi,phi_mean,0.4385107348659158,gamma,0.5
R_phi,phi_top10_mean,0.0966127536764147,gamma,0.5
R_phi,phi_max,0.4648765114576695,gamma,0.5
first_level,R_theta,0.35,gamma,0.5
first_level,R_mu,0.2,gamma,0.5
first_level,R_xi,0.2,gamma,0.5
first_level,R_phi,0.25,gamma,0.5
R_mu,mu_mean,0.03373681930536131,gamma,0.75
R_mu,mu_top10_mean,0.9662631806946387,gamma,0.75
R_xi,xi_mean,0.9751894242514513,gamma,0.75
R_xi,xi_max,0.02481057574854873,gamma,0.75
R_theta,theta_mean,0.518925392532351,gamma,0.75
R_theta,theta_top10_mean,0.48107460746764896,gamma,0.75
R_phi,phi_mean,0.4559865150718931,gamma,0.75
R_phi,phi_top10_mean,0.09347031018809668,gamma,0.75
R_phi,phi_max,0.4505431747400102,gamma,0.75
first_level,R_theta,0.35,gamma,0.75
first_level,R_mu,0.2,gamma,0.75
first_level,R_xi,0.2,gamma,0.75
first_level,R_phi,0.25,gamma,0.75
R_mu,mu_mean,0.034983837427422525,gamma,1.0
R_mu,mu_top10_mean,0.9650161625725775,gamma,1.0
R_xi,xi_mean,0.9736108083827785,gamma,1.0
R_xi,xi_max,0.02638919161722154,gamma,1.0
R_theta,theta_mean,0.5104103271842979,gamma,1.0
R_theta,theta_top10_mean,0.48958967281570215,gamma,1.0
R_phi,phi_mean,0.46816638976262925,gamma,1.0
R_phi,phi_top10_mean,0.0920467243521509,gamma,1.0
R_phi,phi_max,0.43978688588521986,gamma,1.0
first_level,R_theta,0.35,gamma,1.0
first_level,R_mu,0.2,gamma,1.0
first_level,R_xi,0.2,gamma,1.0
first_level,R_phi,0.25,gamma,1.0
